test_type,context,metric,comparison,friedman_p,raw_p,bonf_p,significant_0.05,significant_0.01
between_configs,all_features,f1,config_ii vs config_iii,0.004807690938406078,0.0025502176384632146,0.015301305830779287,True,False
between_configs,all_features,f1,config_ii vs config_iv,0.004807690938406078,0.02483833574861476,0.14903001449168857,False,False
between_configs,all_features,f1,config_iii vs config_iv,0.004807690938406078,0.3599244849693797,1.0,False,False
between_configs,all_samples,roc_auc,config_i vs config_ii,4.396691184175041e-14,0.0006092163130445919,0.003655297878267551,True,True
between_configs,all_samples,roc_auc,config_i vs config_iii,4.396691184175041e-14,4.443137822628596e-05,0.00026658826935771577,True,True
between_configs,all_samples,roc_auc,config_i vs config_iv,4.396691184175041e-14,3.877617751443255e-06,2.3265706508659534e-05,True,True
between_configs,all_samples,roc_auc,config_ii vs config_iii,4.396691184175041e-14,7.665354230596538e-06,4.599212538357923e-05,True,True
between_configs,all_samples,roc_auc,config_ii vs config_iv,4.396691184175041e-14,1.7311263949197288e-06,1.0386758369518373e-05,True,True
between_configs,all_samples,roc_auc,config_iii vs config_iv,4.396691184175041e-14,0.08579633592424607,0.5147780155454764,False,False
between_configs,all_samples,f1,config_i vs config_ii,0.0025008909426194434,0.14993724353924018,0.899623461235441,False,False
between_configs,all_samples,f1,config_i vs config_iii,0.0025008909426194434,0.004756685453938222,0.028540112723629333,True,False
between_configs,all_samples,f1,config_i vs config_iv,0.0025008909426194434,0.0005500885157870807,0.003300531094722484,True,True
between_configs,all_samples,f1,config_ii vs config_iii,0.0025008909426194434,0.03780893643598572,0.22685361861591433,False,False
between_configs,all_samples,f1,config_ii vs config_iv,0.0025008909426194434,0.000930720621994915,0.00558432373196949,True,True
between_configs,all_samples,f1,config_iii vs config_iv,0.0025008909426194434,0.4777378225339066,1.0,False,False
between_configs,edca,roc_auc,config_i vs config_ii,1.0628642175919528e-11,0.0007689839206077322,0.004613903523646393,True,True
between_configs,edca,roc_auc,config_i vs config_iii,1.0628642175919528e-11,0.0008291209612085804,0.004974725767251482,True,True
between_configs,edca,roc_auc,config_i vs config_iv,1.0628642175919528e-11,2.5928831194053032e-05,0.0001555729871643182,True,True
between_configs,edca,roc_auc,config_ii vs config_iii,1.0628642175919528e-11,1.6017690835772024e-05,9.610614501463214e-05,True,True
between_configs,edca,roc_auc,config_ii vs config_iv,1.0628642175919528e-11,3.177874094726491e-06,1.9067244568358948e-05,True,True
between_configs,edca,roc_auc,config_iii vs config_iv,1.0628642175919528e-11,0.08773973127256424,0.5264383876353854,False,False
between_configs,edca,f1,config_i vs config_ii,0.00863036129887383,0.4378737078329683,1.0,False,False
between_configs,edca,f1,config_i vs config_iii,0.00863036129887383,0.004447674851950036,0.026686049111700215,True,False
between_configs,edca,f1,config_i vs config_iv,0.00863036129887383,0.021385567732215824,0.12831340639329494,False,False
between_configs,edca,f1,config_ii vs config_iii,0.00863036129887383,0.005620348435215306,0.03372209061129184,True,False
between_configs,edca,f1,config_ii vs config_iv,0.00863036129887383,0.05564350873846682,0.3338610524308009,False,False
between_configs,edca,f1,config_iii vs config_iv,0.00863036129887383,0.3084485018767672,1.0,False,False
within_config,config_i,precision,all_data vs all_features,0.031639216570490944,0.052971458468947824,0.31782875081368694,False,False
within_config,config_i,precision,all_data vs all_samples,0.031639216570490944,0.10347739283014816,0.6208643569808889,False,False
within_config,config_i,precision,all_data vs edca,0.031639216570490944,0.009976847706913424,0.059861086241480545,False,False
within_config,config_i,precision,all_features vs all_samples,0.031639216570490944,0.6387696019653,1.0,False,False
within_config,config_i,precision,all_features vs edca,0.031639216570490944,0.17060628743024298,1.0,False,False
within_config,config_i,precision,all_samples vs edca,0.031639216570490944,0.09060246700291108,0.5436148020174665,False,False
within_config,config_iii,roc_auc,all_data vs all_features,0.03334098763439359,0.04198895020451199,0.2519337012270719,False,False
within_config,config_iii,roc_auc,all_data vs all_samples,0.03334098763439359,0.43282219473061434,1.0,False,False
within_config,config_iii,roc_auc,all_data vs edca,0.03334098763439359,0.08170615841460659,0.4902369504876395,False,False
within_config,config_iii,roc_auc,all_features vs all_samples,0.03334098763439359,0.03887584378214141,0.23325506269284846,False,False
within_config,config_iii,roc_auc,all_features vs edca,0.03334098763439359,0.542009363218376,1.0,False,False
within_config,config_iii,roc_auc,all_samples vs edca,0.03334098763439359,0.03251026378222611,0.19506158269335666,False,False
within_config,config_iv,roc_auc,all_data vs all_features,0.005683007211125077,0.003174561937795373,0.01904737162677224,True,False
within_config,config_iv,roc_auc,all_data vs all_samples,0.005683007211125077,0.5968405623957915,1.0,False,False
within_config,config_iv,roc_auc,all_data vs edca,0.005683007211125077,0.02189062776896132,0.13134376661376793,False,False
within_config,config_iv,roc_auc,all_features vs all_samples,0.005683007211125077,0.027378236352514383,0.1642694181150863,False,False
within_config,config_iv,roc_auc,all_features vs edca,0.005683007211125077,0.23489938272104394,1.0,False,False
within_config,config_iv,roc_auc,all_samples vs edca,0.005683007211125077,0.04990009906093459,0.2994005943656075,False,False
between_configs,all_data,roc_auc,config_i vs config_ii,1.9547480428210289e-13,0.0010730995195506784,0.00643859711730407,True,True
between_configs,all_data,roc_auc,config_i vs config_iii,1.9547480428210289e-13,0.0005923475950680288,0.003554085570408173,True,True
between_configs,all_data,roc_auc,config_i vs config_iv,1.9547480428210289e-13,1.7333066441991056e-06,1.0399839865194633e-05,True,True
between_configs,all_data,roc_auc,config_ii vs config_iii,1.9547480428210289e-13,5.774164842874605e-05,0.0003464498905724763,True,True
between_configs,all_data,roc_auc,config_ii vs config_iv,1.9547480428210289e-13,1.726772765612998e-06,1.0360636593677988e-05,True,True
between_configs,all_data,roc_auc,config_iii vs config_iv,1.9547480428210289e-13,0.02663459863783098,0.1598075918269859,False,False
between_configs,all_data,f1,config_i vs config_ii,8.606265382739596e-05,0.000641812870112589,0.003850877220675534,True,True
between_configs,all_data,f1,config_i vs config_iii,8.606265382739596e-05,0.001872707584509524,0.011236245507057145,True,False
between_configs,all_data,f1,config_i vs config_iv,8.606265382739596e-05,2.032728454756413e-05,0.00012196370728538479,True,True
between_configs,all_data,f1,config_ii vs config_iii,8.606265382739596e-05,0.048205391657907826,0.28923234994744695,False,False
between_configs,all_data,f1,config_ii vs config_iv,8.606265382739596e-05,0.0019369864199147515,0.01162191851948851,True,False
between_configs,all_data,f1,config_iii vs config_iv,8.606265382739596e-05,0.9741162341716619,1.0,False,False
between_configs,all_data,precision,config_i vs config_ii,0.00058697224047214,0.00016456505398569111,0.0009873903239141467,True,True
between_configs,all_data,precision,config_i vs config_iii,0.00058697224047214,0.6341022690105889,1.0,False,False
between_configs,all_data,precision,config_i vs config_iv,0.00058697224047214,0.009421236586837455,0.05652741952102473,False,False
between_configs,all_data,precision,config_ii vs config_iii,0.00058697224047214,0.02800184477303985,0.16801106863823909,False,False
between_configs,all_data,precision,config_ii vs config_iv,0.00058697224047214,0.4171815605361233,1.0,False,False
between_configs,all_data,precision,config_iii vs config_iv,0.00058697224047214,0.07176802075588685,0.43060812453532116,False,False
between_configs,all_features,roc_auc,config_i vs config_ii,2.2383327773648396e-09,0.0014809194443716261,0.008885516666229757,True,True
between_configs,all_features,roc_auc,config_i vs config_iii,2.2383327773648396e-09,0.014374664074306485,0.08624798444583891,False,False
between_configs,all_features,roc_auc,config_i vs config_iv,2.2383327773648396e-09,5.7767737350741836e-05,0.000346606424104451,True,True
between_configs,all_features,roc_auc,config_ii vs config_iii,2.2383327773648396e-09,0.0001608507815702471,0.0009651046894214826,True,True
between_configs,all_features,roc_auc,config_ii vs config_iv,2.2383327773648396e-09,5.474694795938565e-06,3.284816877563139e-05,True,True
between_configs,all_features,roc_auc,config_iii vs config_iv,2.2383327773648396e-09,0.11322879351290917,0.679372761077455,False,False
between_configs,all_features,f1,config_i vs config_ii,0.004807690938406078,0.08107275941290268,0.48643655647741607,False,False
between_configs,all_features,f1,config_i vs config_iii,0.004807690938406078,0.0025737155750025975,0.015442293450015585,True,False
between_configs,all_features,f1,config_i vs config_iv,0.004807690938406078,0.0025354925495537166,0.015212955297322299,True,False
between_configs,all_features,f1,config_ii vs config_iii,0.004807690938406078,0.0025502176384632146,0.015301305830779287,True,False
between_configs,all_features,f1,config_ii vs config_iv,0.004807690938406078,0.02483833574861476,0.14903001449168857,False,False
between_configs,all_features,f1,config_iii vs config_iv,0.004807690938406078,0.3599244849693797,1.0,False,False
between_configs,all_samples,roc_auc,config_i vs config_ii,4.396691184175041e-14,0.0006092163130445919,0.003655297878267551,True,True
between_configs,all_samples,roc_auc,config_i vs config_iii,4.396691184175041e-14,4.443137822628596e-05,0.00026658826935771577,True,True
between_configs,all_samples,roc_auc,config_i vs config_iv,4.396691184175041e-14,3.877617751443255e-06,2.3265706508659534e-05,True,True
between_configs,all_samples,roc_auc,config_ii vs config_iii,4.396691184175041e-14,7.665354230596538e-06,4.599212538357923e-05,True,True
between_configs,all_samples,roc_auc,config_ii vs config_iv,4.396691184175041e-14,1.7311263949197288e-06,1.0386758369518373e-05,True,True
between_configs,all_samples,roc_auc,config_iii vs config_iv,4.396691184175041e-14,0.08579633592424607,0.5147780155454764,False,False
between_configs,all_samples,f1,config_i vs config_ii,0.0025008909426194434,0.14993724353924018,0.899623461235441,False,False
between_configs,all_samples,f1,config_i vs config_iii,0.0025008909426194434,0.004756685453938222,0.028540112723629333,True,False
between_configs,all_samples,f1,config_i vs config_iv,0.0025008909426194434,0.0005500885157870807,0.003300531094722484,True,True
between_configs,all_samples,f1,config_ii vs config_iii,0.0025008909426194434,0.03780893643598572,0.22685361861591433,False,False
between_configs,all_samples,f1,config_ii vs config_iv,0.0025008909426194434,0.000930720621994915,0.00558432373196949,True,True
between_configs,all_samples,f1,config_iii vs config_iv,0.0025008909426194434,0.4777378225339066,1.0,False,False
between_configs,edca,roc_auc,config_i vs config_ii,1.0628642175919528e-11,0.0007689839206077322,0.004613903523646393,True,True
between_configs,edca,roc_auc,config_i vs config_iii,1.0628642175919528e-11,0.0008291209612085804,0.004974725767251482,True,True
between_configs,edca,roc_auc,config_i vs config_iv,1.0628642175919528e-11,2.5928831194053032e-05,0.0001555729871643182,True,True
between_configs,edca,roc_auc,config_ii vs config_iii,1.0628642175919528e-11,1.6017690835772024e-05,9.610614501463214e-05,True,True
between_configs,edca,roc_auc,config_ii vs config_iv,1.0628642175919528e-11,3.177874094726491e-06,1.9067244568358948e-05,True,True
between_configs,edca,roc_auc,config_iii vs config_iv,1.0628642175919528e-11,0.08773973127256424,0.5264383876353854,False,False
between_configs,edca,f1,config_i vs config_ii,0.00863036129887383,0.4378737078329683,1.0,False,False
between_configs,edca,f1,config_i vs config_iii,0.00863036129887383,0.004447674851950036,0.026686049111700215,True,False
between_configs,edca,f1,config_i vs config_iv,0.00863036129887383,0.021385567732215824,0.12831340639329494,False,False
between_configs,edca,f1,config_ii vs config_iii,0.00863036129887383,0.005620348435215306,0.03372209061129184,True,False
between_configs,edca,f1,config_ii vs config_iv,0.00863036129887383,0.05564350873846682,0.3338610524308009,False,False
between_configs,edca,f1,config_iii vs config_iv,0.00863036129887383,0.3084485018767672,1.0,False,False
within_config,config_iv,roc_auc,all_data vs all_features,0.005683007211125077,0.003174561937795373,0.01904737162677224,True,False
within_config,config_iv,roc_auc,all_data vs all_samples,0.005683007211125077,0.5968405623957915,1.0,False,False
within_config,config_iv,roc_auc,all_data vs edca,0.005683007211125077,0.02189062776896132,0.13134376661376793,False,False
within_config,config_iv,roc_auc,all_features vs all_samples,0.005683007211125077,0.027378236352514383,0.1642694181150863,False,False
within_config,config_iv,roc_auc,all_features vs edca,0.005683007211125077,0.23489938272104394,1.0,False,False
within_config,config_iv,roc_auc,all_samples vs edca,0.005683007211125077,0.04990009906093459,0.2994005943656075,False,False
